advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
submit,/səbˈmɪt/,verb,"nộp, trình","to give a document, proposal, etc. to somebody in authority so that they can study or consider it",You must submit your application before the deadline.,Bạn phải nộp đơn đăng ký trước thời hạn.,The report was submitted to the committee for approval.,Báo cáo đã được trình lên ủy ban để phê duyệt.,B1,,,,,You must _____________ your application before the deadline.,The report was _____________ to the committee for approval.,notify,thông báo,police officer,cảnh sát,ache,Cơn đau âm ỉ; cảm thấy đau âm ỉ,reception,"quầy tiếp tân, lễ tân",flight attendant,Tiếp viên hàng không,Cramming for success: study and academic work
deadline,/ˈdedlaɪn/,noun,Hạn chót,A point in time by which something must be done,The deadline for submitting the report is next Friday.,Hạn chót để nộp báo cáo là thứ Sáu tuần sau.,We are working under a tight deadline to finish the project.,Chúng tôi đang làm việc với một hạn chót chặt chẽ để hoàn thành dự án.,A2,,,,,The _____________ for submitting the report is next Friday.,We are working under a tight _____________ to finish the project.,indistinguishable,không thể phân biệt được,erratic,"thất thường, không ổn định",fauna,hệ động vật,distinguish,Phân biệt,guy,"anh chàng, gã",Cramming for success: study and academic work
bury yourself in your books,ˌberi jɔːˈself ɪn jɔː bʊks,idiom,vùi đầu vào sách vở,to study very hard,I need to bury myself in my books for the next month.,Tôi cần vùi đầu vào sách vở trong tháng tới.,He spent the weekend burying himself in his books.,Anh ấy đã dành cả cuối tuần vùi đầu vào sách vở.,C1,,,,,I need to _____________ for the next month.,He spent the weekend _____________.,cease,"chấm dứt, ngừng",catch on,"hiểu ra, nắm bắt được",reconsider,"xem xét lại, cân nhắc lại",jot down,ghi chép nhanh,distinctive,"đặc trưng, dễ nhận biết",Cramming for success: study and academic work
cram,kræm,verb,học nhồi nhét,to learn a lot quickly for an exam,I had to cram all night for the history exam.,Tôi đã phải học nhồi nhét suốt đêm cho kỳ thi lịch sử.,Cramming the night before is not an effective study method.,Học gấp rút vào đêm hôm trước không phải là phương pháp học hiệu quả.,B2,,,,,I had to _____________ all night for the history exam.,_____________ the night before is not an effective study method.,next of kin,"người thân nhất, thân nhân",dove,Chim bồ câu trắng (biểu tượng hòa bình),overshadow,"làm lu mờ, át đi",format,định dạng,comparable,"có thể so sánh, tương đương",Cramming for success: study and academic work
essay,ˈeseɪ,noun,tiểu luận,a short piece of writing on a subject,I have to write a 2000-word essay for my history class.,Tôi phải viết một bài tiểu luận 2000 từ cho lớp lịch sử.,The essay required a lot of research.,Bài tiểu luận đòi hỏi rất nhiều nghiên cứu.,B2,,,,,I have to write a 2000-word _____________ for my history class.,The _____________ required a lot of research.,evacuate,"sơ tán, di dời",scar,vết sẹo,productive,"hiệu quả, năng suất cao",excess,"dư thừa, vượt quá",torture,"tra tấn, hành hạ",Cramming for success: study and academic work
first draft,ˌfɜːst ˈdrɑːft,noun phrase,bản nháp đầu tiên,the first version of a document,I finished the first draft of my novel.,Tôi đã hoàn thành bản nháp đầu tiên của cuốn tiểu thuyết.,The first draft needs a lot of revision.,Bản nháp đầu tiên cần sự sửa đổi rất nhiều.,B2,,,,,I finished the _____________ of my novel.,The _____________ needs a lot of revision.,facilitate,"tạo điều kiện, thúc đẩy",now then,"nào, vậy thì",biodegradable,có thể phân hủy sinh học,yell,"la hét, quát tháo",grind,"xay, nghiền",Cramming for success: study and academic work
intensively,ɪnˈtensɪvli,adverb,một cách tập trung cao độ,in a concentrated way,The students worked intensively to prepare for the exam.,Các sinh viên đã làm việc một cách tập trung cao độ để chuẩn bị cho kỳ thi.,She studied intensively over the summer.,Cô ấy đã học chuyên sâu trong suốt mùa hè.,B2,,,,,The students worked _____________ to prepare for the exam.,She studied _____________ over the summer.,instruct,"hướng dẫn, chỉ dẫn; chỉ thị",consumption,"sự tiêu thụ, mức tiêu thụ",phonetics,ngữ âm học,gossip,"chuyện phiếm, chuyện ngồi lê đôi mách",setback,"trở ngại, sự gián đoạn (tiến độ)",Cramming for success: study and academic work
know inside out,ˌnəʊ ˌɪnsaɪd ˈaʊt,idiom,hiểu tường tận,to know thoroughly,I've read this book so many times I know it inside out.,Tôi đã đọc cuốn sách này nhiều lần đến nỗi thuộc nằm lòng nó.,He knows the city inside out.,Anh ấy hiểu tường tận thành phố này.,C1,,,,,I've read this book so many times I _____________.,He _____________.,resume,"nối lại, tiếp tục",converse,"trò chuyện, nói chuyện",prepaid,"trả trước, nạp trước",exaggerate,"phóng đại, thổi phồng",obstacle,"chướng ngại vật, vật cản trở",Cramming for success: study and academic work
mind map,ˈmaɪnd mæp,noun,sơ đồ tư duy,a diagram to organize ideas,I use a mind map to organize my ideas before writing.,Tôi sử dụng sơ đồ tư duy để sắp xếp ý tưởng trước khi viết.,Creating a mind map helps me visualize the structure.,Tạo sơ đồ tư duy giúp tôi hình dung cấu trúc.,B2,,,,,I use a _____________ to organize my ideas before writing.,Creating a _____________ helps me visualize the structure.,academic journal,tạp chí học thuật,utilize,"sử dụng, tận dụng (nguồn lực/công nghệ)",brunch,bữa sáng muộn (kết hợp breakfast & lunch),generalize,"khái quát hóa, đưa ra nhận định chung chung",aspiration,"khát vọng, hoài bão",Cramming for success: study and academic work
mnemonics,nɪˈmɒnɪks,noun,thuật ghi nhớ,memory aids,Using mnemonics can help you remember lists.,Sử dụng thuật ghi nhớ có thể giúp bạn nhớ các danh sách.,"She created a mnemonic to remember the planets, a useful mnemonic.",Cô ấy đã tạo một mẹo ghi nhớ để nhớ các hành tinh.,C1,,,,,Using _____________ can help you remember lists.,"She created a mnemonic to remember the planets, a useful _____________.",carry out research,thực hiện nghiên cứu,register,"quầy thanh toán, máy tính tiền",smog,sương khói,unidentified flying object,vật thể bay không xác định (UFO),meet,"Gặp gỡ (công việc); Đáp ứng (yêu cầu, tiêu chuẩn)",Cramming for success: study and academic work
past papers,ˈpɑːst ˈpeɪpəz,noun phrase,các đề thi năm trước,previous exam papers,Practicing with past papers is good preparation for the exam.,Luyện tập với các đề thi năm trước là sự chuẩn bị tốt cho kỳ thi.,The teacher gave us some past papers to study.,Giáo viên đã đưa cho chúng tôi một số đề thi các năm trước để ôn tập.,B2,,,,,Practicing with _____________ is good preparation for the exam.,The teacher gave us some _____________ to study.,feedback,phản hồi / nhận xét,trail,kéo lê; bị dẫn điểm (trong thi đấu),enrich,"làm giàu thêm, cải thiện chất lượng",e.g.,ví dụ như,fluctuate,"dao động, biến động",Cramming for success: study and academic work
rote-learning,ˈrəʊt ˌlɜːnɪŋ,noun,học vẹt,learning by repetition without understanding,Rote-learning can help you memorize facts quickly.,Học vẹt có thể giúp bạn ghi nhớ sự kiện nhanh chóng.,The school emphasizes understanding over rote-learning.,Trường học nhấn mạnh sự thấu hiểu hơn là học thuộc lòng.,C1,,,,,_____________ can help you memorize facts quickly.,The school emphasizes understanding over _____________.,finals,kỳ thi tốt nghiệp / thi cuối khóa,module,"học phần, mô-đun",linguistic,(thuộc) ngôn ngữ học,anno Domini,sau Công Nguyên,ratio,tỷ lệ,Cramming for success: study and academic work
project,/prəˈdʒekt/,Verb,"trình chiếu, phát hình","to make somebody's voice, a picture, etc. be heard or seen at a distance",He is leading the new construction project.,Anh ấy đang dẫn dắt dự án xây dựng mới.,The movie will be projected on the outdoor wall at dusk.,Bộ phim sẽ được trình chiếu trên bức tường ngoài trời lúc chạng vạng.,B1,,,,,He is leading the new construction _____________.,The movie will be _____________ on the outdoor wall at dusk.,disrespect,"Không tôn trọng, xúc phạm",parade,cuộc diễu hành,in the event of,trong trường hợp,macho,ra vẻ nam nhi,like a dream,"rất tốt, hoàn hảo",Cramming for success: study and academic work
acknowledge,/əkˈnɒlɪdʒ/,verb,thừa nhận,to accept that something is true,They did not acknowledge my letter.,Họ đã không báo đã nhận được thư của tôi.,Please acknowledge receipt of this email.,Vui lòng xác nhận đã nhận được email này.,B2,,,,,They did not _____________ my letter.,Please _____________ receipt of this email.,source,"nguồn tin, nguồn thông tin",home page,trang chủ,detailed,"chi tiết, tỉ mỉ",disrespect,"Không tôn trọng, xúc phạm",in the event of,trong trường hợp,Cramming for success: study and academic work
genius,/ˈdʒiːniəs/,noun,Thiên tài.,A person who is unusually intelligent or has a very high level of skill.,She was a mathematical genius.,Cô ấy là một thiên tài toán học.,The design was a work of genius.,Thiết kế đó là một tác phẩm của thiên tài.,B2,,,,,She was a mathematical _____________.,The design was a work of _____________.,product,sản phẩm,pour,Mưa như trút nước,parking lot,bãi đỗ xe,anxious,"lo lắng, bồn chồn",upset,"làm ai lo lắng, buồn, tức giận",Cramming for success: study and academic work
assignment,/əˈsaɪnmənt/,noun,"Bài tập (được giao), nhiệm vụ.","A task or piece of work that somebody is given to do, usually as part of their job or studies.",She is in Miami on a business assignment.,Cô ấy đang ở Miami để thực hiện một nhiệm vụ kinh doanh.,The manager delegated a new assignment to his team.,Người quản lý đã giao một nhiệm vụ mới cho nhóm của ông ấy.,A2,,,,,She is in Miami on a business _____________.,The manager delegated a new _____________ to his team.,coin,đồng xu,humid,Ẩm ướt (độ ẩm không khí cao),overpass,cầu vượt,eager,"háo hức, nhiệt tình",raise,"nâng lên, tăng lên",Cramming for success: study and academic work
portfolio,/pɔːtˈfəʊliəʊ/,noun,Danh mục đầu tư,"a set of shares, etc. owned by a particular person or organization",She presented a portfolio of her best architectural designs.,Cô ấy trình bày một hồ sơ năng lực gồm những thiết kế kiến trúc xuất sắc nhất của mình.,I need to update my portfolio with my most recent design projects.,Tôi cần cập nhật hồ sơ năng lực của mình với các dự án thiết kế gần đây nhất.,B2,,,,,She presented a _____________ of her best architectural designs.,I need to update my _____________ with my most recent design projects.,stove,"bếp lò, bếp",cloud,đám mây,drought,Hạn hán,deal with,"giải quyết, xử lý (một việc gì đó)",nutrition,dinh dưỡng,Cramming for success: study and academic work
dissertation,/ˌdɪsəˈteɪʃn/,noun,"luận văn, luận án","a long piece of writing on a particular subject, especially one written for a university degree",She is writing her dissertation on modern Japanese literature.,Cô ấy đang viết luận án về văn học Nhật Bản hiện đại.,He spent a year conducting research for his doctoral dissertation.,Anh ấy đã dành một năm để nghiên cứu cho luận án tiến sĩ của mình.,C1,,,,,She is writing her _____________ on modern Japanese literature.,He spent a year conducting research for his doctoral _____________.,deviate,"Đi chệch hướng, sai lệch",come over,"ghé qua, đến thăm",carnivore,động vật ăn thịt,desire,"khao khát, mong muốn",shark,Cá mập,Cramming for success: study and academic work
plagiarism,/ˈpleɪdʒərɪzəm/,noun,sự đạo văn,the practice of copying another person's work or ideas and pretending that they are your own,The student was expelled for plagiarism.,Sinh viên đó đã bị đuổi học vì đạo văn.,The student was expelled from the university for committing plagiarism.,Sinh viên đó đã bị đuổi khỏi trường đại học vì hành vi đạo văn.,C1,,,,,The student was expelled for _____________.,The student was expelled from the university for committing _____________.,usage,"cách sử dụng, mức độ sử dụng",Infrastructure,Cơ sở hạ tầng,herbivore,động vật ăn cỏ,portfolio,Danh mục đầu tư,page,trang,Cramming for success: study and academic work
revision,/rɪˈvɪʒn/,noun,"sự ôn tập, ôn thi",the process of learning work for an exam,We have a revision class before the final exam.,Chúng tôi có một lớp ôn tập trước kỳ thi cuối kỳ.,Effective revision techniques include creating mind maps and practicing past papers.,Các kỹ thuật ôn tập hiệu quả bao gồm việc tạo sơ đồ tư duy và luyện tập các đề thi cũ.,B1,,,,,We have a _____________ class before the final exam.,Effective _____________ techniques include creating mind maps and practicing past papers.,compliment,lời khen,visit,"Thăm, đến thăm",equality,sự bình đẳng,take,"lấy, mang, đưa",money laundering,rửa tiền,Cramming for success: study and academic work
composition,/ˌkɒmpəˈzɪʃn/,noun,thành phần; cấu tạo,the different parts that something is made of; the way in which the different parts are organized,The children had to write a composition about their families.,Bọn trẻ phải viết một bài luận về gia đình của chúng.,He submitted his final composition to the literature professor just before the deadline.,Anh ấy đã nộp bài luận cuối cùng cho giáo sư văn học ngay trước hạn chót.,B2,,,,,The children had to write a _____________ about their families.,He submitted his final _____________ to the literature professor just before the deadline.,share,chia sẻ,silence,"sự im lặng, sự yên lặng",protest,sự phản đối,under pressure,"chịu áp lực, dưới áp lực",nuclear family,gia đình hạt nhân,Cramming for success: study and academic work
thesis,/ˈθiː.sɪs/,noun,"luận văn, luận án","a long piece of writing based on your own ideas and research that you do as part of a university degree, especially a PhD",She is currently writing her doctoral thesis.,Cô ấy hiện đang viết luận án tiến sĩ.,The thesis must be submitted by June.,Luận văn phải được nộp trước tháng Sáu.,B2,,,,,She is currently writing her doctoral _____________.,The _____________ must be submitted by June.,copy,Sao chép,write down,"ghi chép, viết ra",informative,cung cấp nhiều thông tin hữu ích,serious,"nghiêm trọng, đứng đắn",go off,"bị hỏng, ôi thiu (thức ăn, đồ uống)",Cramming for success: study and academic work
curriculum reform,kəˈrɪkjələm rɪˌfɔːm,noun phrase,cải cách chương trình,changes to the school syllabus,The government is proposing a new curriculum reform.,Chính phủ đang đề xuất một cải cách chương trình giảng dạy mới.,The curriculum reform aims to modernize education.,Cải cách chương trình giảng dạy nhằm hiện đại hóa giáo dục.,C1,,,,,The government is proposing a new _____________.,The _____________ aims to modernize education.,inter-library loan,mượn liên thư viện,supervisor,Người giám sát / Giám thị,amber,hổ phách,common era,Công Nguyên (cách gọi trung tính),inconsistent,"không nhất quán, mâu thuẫn",Education: debates and issues
guidelines,ˈɡaɪdlaɪnz,noun,nguyên tắc chỉ đạo,official instructions,The teacher gave us clear guidelines for the project.,Giáo viên đã đưa ra những hướng dẫn rõ ràng cho dự án.,Please follow the safety guidelines.,Vui lòng tuân thủ các nguyên tắc chỉ đạo về an toàn.,B2,,,,,The teacher gave us clear _____________ for the project.,Please follow the safety _____________.,open educational resources,tài nguyên giáo dục mở,masculine,"giống đực, (thuộc) nam",gimmick,"chiêu trò, mánh lới quảng cáo",before Christ,trước Công Nguyên,variable,"biến số, yếu tố thay đổi",Education: debates and issues
lifelong education,ˌlaɪflɒŋ ˌedʒuˈkeɪʃn,noun phrase,giáo dục suốt đời,learning throughout life,The institute promotes lifelong education for all.,Viện thúc đẩy giáo dục suốt đời cho tất cả mọi người.,She believes in the value of lifelong education.,Cô ấy tin vào giá trị của giáo dục suốt đời.,B2,,,,,The institute promotes _____________ for all.,She believes in the value of _____________.,well-qualified,có trình độ cao / đủ năng lực,feminine,"giống cái, (thuộc) nữ",outlook,"triển vọng, viễn cảnh; quan điểm",underestimate,"đánh giá thấp, coi thường",endorse,"tán thành, ủng hộ (công khai)",Education: debates and issues
mature student,məˌtʃʊə ˈstjuːdnt,noun phrase,sinh viên lớn tuổi,an older student at university,The university welcomes mature students as well.,Trường đại học cũng chào đón các sinh viên lớn tuổi.,My mother is a mature student studying law.,Mẹ tôi là một sinh viên lớn tuổi theo học luật.,B2,,,,,The university welcomes _____________ as well.,My mother is a _____________ studying law.,bury yourself in your books,vùi đầu vào sách vở,tabloid,"báo lá cải (thường tập trung vào giật gân, tin tức về người nổi tiếng)",set up,"Thành lập (công ty, tổ chức)",underlying,"cơ bản, tiềm ẩn; nằm bên dưới",authorize,"ủy quyền, cho phép (chính thức)",Education: debates and issues
numeracy,ˈnjuːmərəsi,noun,khả năng tính toán,basic math skills,The test assesses basic numeracy skills.,Bài kiểm tra đánh giá các kỹ năng tính toán cơ bản.,Improving numeracy is a priority for the school.,Cải thiện khả năng tính toán là ưu tiên của nhà trường.,C1,,,,,The test assesses basic _____________ skills.,Improving _____________ is a priority for the school.,cram,học nhồi nhét,rip,"xé, làm rách, xé toạc",uphold,"ủng hộ, duy trì, giữ vững (nguyên tắc, quyết định)",undermine,"làm suy yếu, phá hoại (lòng tin, quyền lực)",outlaw,"đặt ra ngoài vòng pháp luật, cấm",Education: debates and issues
special needs education,ˌspeʃl ˌniːdz ˌedʒuˈkeɪʃn,noun phrase,giáo dục nhu cầu đặc biệt,education for children with disabilities,She works in special needs education.,Cô ấy làm việc trong lĩnh vực giáo dục nhu cầu đặc biệt.,The school has a good special needs education program.,Trường có một chương trình giáo dục đặc biệt tốt.,B2,,,,,She works in _____________.,The school has a good _____________ program.,essay,tiểu luận,attain,đạt được,intervene,"can thiệp, xen vào",upgrade,nâng cấp,regardless,"bất chấp, không kể, vẫn cứ",Education: debates and issues
the three Rs,ðə ˌθriː ˈɑːz,noun phrase,ba kỹ năng cơ bản,"reading, writing and arithmetic",Elementary schools focus on the three Rs.,Các trường tiểu học tập trung vào ba kỹ năng cơ bản.,The foundation of education is the three Rs.,Nền tảng của giáo dục là ba kỹ năng cơ bản.,B2,,,,,Elementary schools focus on _____________.,The foundation of education is _____________.,first draft,bản nháp đầu tiên,demolish,phá hủy,interfere,"can thiệp thô bạo, gây cản trở, làm phiền",converse,"trò chuyện, nói chuyện",have enough of,có đủ (cái gì),Education: debates and issues
bullying,/ˈbʊliɪŋ/,noun,"Sự bắt nạt, bạo hành",The use of strength or power to frighten or hurt weaker people,Workplace bullying can lower morale and productivity.,Bắt nạt nơi làm việc có thể làm giảm tinh thần và năng suất.,The school has strict rules against bullying.,Trường học có quy định nghiêm ngặt chống lại bắt nạt.,B1,,,,,Workplace _____________ can lower morale and productivity.,The school has strict rules against _____________.,complain,"Phàn nàn, khiếu nại",mechanical,"Cơ khí, thuộc về máy móc",hydroelectric,thủy điện,price,Giá cả,artificial intelligence,Trí tuệ nhân tạo,Education: debates and issues
distraction,/dɪˈstrækʃn/,Noun,"Sự sao lãng, vật làm phân tâm",a thing that takes your attention away from what you are doing or thinking about,The noise from the construction site is a constant distraction.,Tiếng ồn từ công trường xây dựng là một sự phân tâm liên tục.,Please turn off your phone to avoid distractions during the meeting.,Làm ơn tắt điện thoại để tránh phân tâm trong cuộc họp.,B1,,,,,The noise from the construction site is a constant _____________.,Please turn off your phone to avoid _____________ during the meeting.,police officer,cảnh sát,major,chuyên ngành,tourist,"khách du lịch, du khách",worsen,"trở nên tồi tệ hơn, làm trầm trọng thêm",down,"Xuống, giảm",Education: debates and issues
tuition fees,/tjuˈɪʃn fiːz/,noun phrase,học phí,"the money paid for instruction at a school, college, or university",Tuition fees at private universities are significantly higher than at public ones.,Học phí tại các trường đại học tư thục cao hơn đáng kể so với các trường công lập.,The government's decision to raise tuition fees sparked widespread student protests.,Quyết định tăng học phí của chính phủ đã gây ra các cuộc biểu tình rộng rãi của sinh viên.,B1,,,,,_____________ at private universities are significantly higher than at public ones.,The government's decision to raise _____________ sparked widespread student protests.,say,"Nói, phát biểu",give birth,Sinh con,delivery,sự giao hàng,cause,nguyên nhân,vegan,người ăn thuần chay,Education: debates and issues
literacy,/ˈlɪtərəsi/,noun,"sự biết chữ, trình độ học vấn",the ability to read and write,The school runs a literacy program for adults.,Trường học tổ chức một chương trình xóa mù chữ cho người lớn.,Digital literacy is an essential skill for students in the twenty-first century.,Kỹ năng sử dụng công nghệ số là một kỹ năng thiết yếu cho sinh viên trong thế kỷ hai mươi mốt.,B2,,,,,The school runs a _____________ program for adults.,Digital _____________ is an essential skill for students in the twenty-first century.,field,"Cánh đồng, lĩnh vực",more or less,"Đại khái, gần như",predictable,"có thể đoán trước, tẻ nhạt",praise,"khen ngợi, tán dương",recipe for disaster,"công thức cho thảm họa, hành động ngu ngốc chắc chắn dẫn đến thất bại",Education: debates and issues
syllabus,/ˈsɪləbəs/,Noun,chương trình học (môn học),"a list of the topics, books, etc. that students should study in a particular subject at school or college",The teacher handed out the syllabus on the first day of class.,Giáo viên đã phát chương trình học vào ngày đầu tiên của lớp học.,We need to cover all the topics on the syllabus before the exam.,Chúng ta cần bao quát tất cả các chủ đề trong chương trình học trước kỳ thi.,B1,,,,,The teacher handed out the _____________ on the first day of class.,We need to cover all the topics on the _____________ before the exam.,male,"nam giới, con đực",come back,quay trở lại,information,Thông tin,react,"phản ứng, phản ứng lại",grill,nướng (trên vỉ hoặc dưới nhiệt cao),Education: debates and issues
one-to-one,/ˌwʌn tə ˈwʌn/,"adjective, adverb",trực tiếp (một đối một),"(of a meeting, lesson, etc.) involving two people only",She requested a one-to-one meeting with her manager.,Cô ấy đã yêu cầu một cuộc họp trực tiếp với quản lý của mình.,Training is more effective when it is done one-to-one.,Đào tạo sẽ hiệu quả hơn khi được thực hiện trực tiếp một kèm một.,B2,,,,,She requested a _____________ meeting with her manager.,Training is more effective when it is done _____________.,female,"nữ giới, con cái",come off,"bong ra, tróc ra",predictable,"có thể đoán trước, tẻ nhạt",character,nhân vật,takeaway,đồ ăn mang về,Education: debates and issues
