Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
luggage,/ˈlʌɡɪdʒ/,noun,Hành lý,"The cases, bags, etc. that contain your possessions and that you take with you when you are travelling.",Please make sure you have all your luggage with you when you get off the bus.,Hãy chắc chắn rằng bạn có tất cả hành lý của mình khi xuống xe buýt.,You are only allowed one piece of hand luggage on the plane.,Bạn chỉ được phép mang một kiện hành lý xách tay lên máy bay.,A2,,,,,Please make sure you have all your _____________ with you when you get off the bus.,You are only allowed one piece of hand _____________ on the plane.,elevator,thang máy,sidewalk,vỉa hè,tights,Quần tất (của phụ nữ),waistcoat,áo gile (Anh),prime minister,Thủ tướng,Learning vocabulary
coin,/kɔɪn/,noun,đồng xu,a small flat piece of metal used as money,I need a coin for the shopping trolley.,Tôi cần một đồng xu để lấy xe đẩy hàng.,They were tossing a coin to decide.,Họ đang tung đồng xu để quyết định.,A2,,,,,I need a _____________ for the shopping trolley.,They were tossing a _____________ to decide.,apartment,căn hộ,lift,"nâng lên, nhấc lên",pants,quần dài,undershirt,áo lót nam,quit,thoát (chương trình),Learning vocabulary
systematic,/ˌsɪstəˈmætɪk/,adjective,có hệ thống,done according to a fixed plan or method,We conducted a systematic review of all safety procedures.,Chúng tôi tiến hành rà soát có hệ thống tất cả các quy trình an toàn.,The error was caused by a systematic failure in the process.,Lỗi gây ra bởi một sự thất bại có hệ thống trong quy trình.,B2,,,,,We conducted a _____________ review of all safety procedures.,The error was caused by a _____________ failure in the process.,realize,"Nhận ra, nhận thức, thực hiện",baggage,hành lý (nói chung),wash up,rửa bát đĩa,pantyhose,quần tất mỏng,vow,"thề, hứa (một cách trịnh trọng)",Learning vocabulary
range,/reɪndʒ/,noun,"Phạm vi, loạt, dải",A variety of things of a particular type.,The store offers a wide range of office supplies.,Cửa hàng cung cấp một loạt các đồ dùng văn phòng.,The Andes is the longest mountain range in the world.,Dãy Andes là dãy núi dài nhất thế giới.,B1,,,,,The store offers a wide _____________ of office supplies.,The Andes is the longest mountain _____________ in the world.,flat,"phẳng, bằng",center,trung tâm; tập trung,bill,hóa đơn thanh toán,nappy,tã lót (Anh),blaze,vụ hỏa hoạn lớn,Learning vocabulary
sophisticated,/səˈfɪstɪkeɪtɪd/,adjective,"tinh tế, sành điệu, từng trải","having a lot of experience of the world and knowing about fashion, culture and other things that people think are socially important",Mark is a smart and sophisticated young man.,Mark là một thanh niên thông minh và tinh tế.,The conference attracted a sophisticated audience of international scholars.,Hội nghị đã thu hút một lượng khán giả là các học giả quốc tế sành sỏi.,B2,,,,,Mark is a smart and _____________ young man.,The conference attracted a _____________ audience of international scholars.,zone out,mất tập trung / lơ đễnh,jewelry,Trang sức (nói chung),rubber,cục tẩy (Anh),ground floor,tầng trệt (Anh),blast,"vụ nổ, chỉ trích dữ dội",Learning vocabulary
accurately,/ˈækjərətli/,adverb,một cách chính xác,in a way that is correct and true in every detail,Modern satellites can now accurately monitor the rate of deforestation in the Amazon rainforest from space.,Các vệ tinh hiện đại ngày nay có thể giám sát một cách chính xác tốc độ phá rừng ở rừng nhiệt đới Amazon từ không gian.,"The model failed to accurately predict the intensity of the storm surge, leading to inadequate coastal defenses.","Mô hình đã không dự đoán một cách chính xác cường độ của đợt triều cường, dẫn đến việc phòng thủ bờ biển không đầy đủ.",B1,,,,,Modern satellites can now _____________ monitor the rate of deforestation in the Amazon rainforest from space.,"The model failed to _____________ predict the intensity of the storm surge, leading to inadequate coastal defenses.",take sides,chọn phe / đứng về phía ai,truck,xe tải,petrol,xăng (Anh),first floor,tầng 1 (Mỹ),bid,"nỗ lực, đề nghị (thường là để đạt quyền lực)",Learning vocabulary
undertake,/ˌʌn.dəˈteɪk/,Verb,"đảm nhận, cam kết",to make yourself responsible for something and start doing it; to agree to do something,The company will undertake a new project.,Công ty sẽ đảm nhận dự án mới.,The company has undertaken a full review of its safety policies.,Công ty đã đảm nhận một cuộc xem xét toàn diện các chính sách an toàn của mình.,B2,,,,,The company will _____________ a new project.,The company has _____________ a full review of its safety policies.,in isolation,một cách cô lập / riêng lẻ,eraser,Cục tẩy,pavement,vỉa hè (Anh),trousers,quần dài (Anh),boost,"thúc đẩy, đẩy mạnh, tăng cường",Learning vocabulary
register,/ˈredʒɪstə(r)/,Noun,"quầy thanh toán, máy tính tiền",The place in a shop where you pay for goods; a cash register,You must register online before attending the seminar.,Bạn phải đăng ký trực tuyến trước khi tham dự hội thảo.,"The item wouldn't scan, so the clerk had to type the price into the register.","Món hàng không quét được, vì vậy nhân viên phải gõ giá vào máy tính tiền.",B1,,,,,You must _____________ online before attending the seminar.,"The item wouldn't scan, so the clerk had to type the price into the _____________.",gutted,rất thất vọng / chán nản (từ lóng),color,màu sắc; tô màu,lorry,xe tải (Anh),vest,Áo gilê,ax,cái rìu,Learning vocabulary
subtle,/ˈsʌt.əl/,adjective,"tinh tế, tế nhị, khó thấy rõ",not very noticeable or obvious; delicate and precise,There was a subtle hint of vanilla in the cake.,Có một chút hương vani tinh tế trong bánh.,The painting has subtle shades of blue and green.,Bức tranh có các sắc thái tinh tế của xanh lam và xanh lục.,B2,,,,,There was a _____________ hint of vanilla in the cake.,The painting has _____________ shades of blue and green.,felon,tội phạm trọng tội (từ cũ/Mỹ),elevator,thang máy,gasoline,xăng,note,"chú ý, để ý",aid,"Viện trợ, sự giúp đỡ",Learning vocabulary
perfectionist,pəˈfekʃənɪst,noun,người cầu toàn,a person who wants everything to be perfect,He is a perfectionist who is never satisfied with his work.,Anh ấy là một người cầu toàn không bao giờ hài lòng với công việc của mình.,Being a perfectionist can be both a strength and a weakness.,Là một người cầu toàn vừa là điểm mạnh vừa là điểm yếu.,B2,,,,,He is a _____________ who is never satisfied with his work.,Being a _____________ can be both a strength and a weakness.,at a loss for words,không nói nên lời,apartment,căn hộ,crosswalk,vạch qua đường,underpants,Quần lót nam,head,"đi về hướng, lãnh đạo",Organising a vocabulary notebook
latecomer,ˈleɪtkʌmə(r),noun,người đến muộn,a person who arrives late,Latecomers will not be admitted to the theatre.,Người đến muộn sẽ không được vào nhà hát.,The teacher punished the latecomer.,Giáo viên đã phạt người đến muộn.,B2,,,,,_____________ will not be admitted to the theatre.,The teacher punished the _____________.,appropriately,một cách thích hợp,realize,"Nhận ra, nhận thức, thực hiện",zebra crossing,"Vạch sang đường cho người đi bộ, lối qua đường vạch sọc",check,kiểm tra,bar,"Thanh, thỏi, quán bar",Organising a vocabulary notebook
dissatisfied,ˌdɪsˈsætɪsfaɪd,adjective,không hài lòng,not happy or satisfied with something,She is dissatisfied with the current situation.,Cô ấy không hài lòng với tình hình hiện tại.,Many customers are dissatisfied with the service.,Nhiều khách hàng không hài lòng với dịch vụ.,B2,,,,,She is _____________ with the current situation.,Many customers are _____________ with the service.,alight,"xuống (xe, tàu) - trang trọng",flat,"phẳng, bằng",luggage,Hành lý,tights,Quần tất (của phụ nữ),back,"trở lại, về phía sau",Organising a vocabulary notebook
deprive of,dɪˈpraɪv əv,verb,tước đoạt / lấy đi,to prevent somebody from having or doing something,The war deprived them of their basic rights.,Chiến tranh đã tước đoạt họ của các quyền cơ bản.,Don't deprive the child of a good education.,Đừng lấy đi của đứa trẻ một nền giáo dục tốt.,B2,,,,,The war _____________ them _____________ their basic rights.,Don't _____________ the child _____________ a good education.,bug,Lỗi (phần mềm/máy tính),zone out,mất tập trung / lơ đễnh,sidewalk,vỉa hè,pants,quần dài,clash,"xung đột, mâu thuẫn",Organising a vocabulary notebook
breathless,/ˈbreθ.ləs/,Adjective,"hụt hơi, khó thở",having difficulty breathing; gasping for air,The patient felt breathless after climbing just one flight of stairs.,Bệnh nhân cảm thấy hụt hơi chỉ sau khi leo một tầng cầu thang.,He became breathless and wheezy during the asthma attack.,Anh ấy trở nên hụt hơi và thở khò khè trong cơn hen suyễn.,B1,,,,,The patient felt _____________ after climbing just one flight of stairs.,He became _____________ and wheezy during the asthma attack.,collocation,kết hợp từ,take sides,chọn phe / đứng về phía ai,lift,"nâng lên, nhấc lên",wash up,rửa bát đĩa,curb,"hạn chế, kiềm chế",Organising a vocabulary notebook
word family,ˈwɜːd ˌfæməli,noun,gia đình từ (các từ cùng gốc),a group of related words,"The word family of 'create' includes 'creative', 'creation', and 'creativity'.","Gia đình từ của 'create' bao gồm 'creative', 'creation', và 'creativity'.",Learning word families can expand your vocabulary.,Học các gia đình từ có thể mở rộng vốn từ vựng của bạn.,B2,,,,,"The _____________ of 'create' includes 'creative', 'creation', and 'creativity'.",Learning _____________ can expand your vocabulary.,luggage,Hành lý,in isolation,một cách cô lập / riêng lẻ,baggage,hành lý (nói chung),bill,hóa đơn thanh toán,trash,rác (Mỹ),Organising a vocabulary notebook
word class,ˈwɜːd klɑːs,noun,từ loại,one of the groups into which words are divided,What word class does 'quickly' belong to?,Quickly' thuộc từ loại nào?,It's important to understand word classes for grammar.,Việc hiểu các từ loại là rất quan trọng cho ngữ pháp.,B2,,,,,What _____________ does 'quickly' belong to?,It's important to understand _____________ for grammar.,coin,đồng xu,gutted,rất thất vọng / chán nản (từ lóng),center,trung tâm; tập trung,rubber,cục tẩy (Anh),queue,hàng (người) (Anh),Organising a vocabulary notebook
to and fro,ˌtuː ən ˈfrəʊ,idiom,đi đi lại lại,moving backwards and forwards,The children ran to and fro in the park.,Bọn trẻ chạy đi đi lại lại trong công viên.,The pendulum swung to and fro.,Con lắc đu đưa đi đi lại lại.,B2,,,,,The children ran _____________ in the park.,The pendulum swung _____________.,systematic,có hệ thống,felon,tội phạm trọng tội (từ cũ/Mỹ),jewelry,Trang sức (nói chung),petrol,xăng (Anh),one-way,vé một chiều,Organising a vocabulary notebook
snowed under,ˌsnəʊd ˈʌndə(r),idiom,ngập đầu trong công việc,having too much work to deal with,I'm completely snowed under with work this week.,Tôi hoàn toàn ngập đầu trong công việc tuần này.,She is snowed under with assignments.,Cô ấy ngập đầu trong các bài tập.,C1,,,,,I'm completely _____________ with work this week.,She is _____________ with assignments.,range,"Phạm vi, loạt, dải",at a loss for words,không nói nên lời,truck,xe tải,pavement,vỉa hè (Anh),motorway,đường cao tốc (Anh),Organising a vocabulary notebook
related words,rɪˈleɪtɪd wɜːdz,noun phrase,các từ liên quan (cùng gia đình từ),words that are connected to each other,The dictionary lists related words at the bottom of the page.,Từ điển liệt kê các từ liên quan ở cuối trang.,It's helpful to learn related words together.,Sẽ rất hữu ích khi học các từ cùng gia đình với nhau.,B2,,,,,The dictionary lists _____________ at the bottom of the page.,It's helpful to learn _____________ together.,sophisticated,"tinh tế, sành điệu, từng trải",appropriately,một cách thích hợp,eraser,Cục tẩy,lorry,xe tải (Anh),interstate,đường cao tốc liên bang,Organising a vocabulary notebook
network diagram,ˈnetwɜːk ˌdaɪəɡræm,noun phrase,sơ đồ mạng lưới,a drawing that shows the connections between things,The IT team created a network diagram for the new system.,Nhóm IT đã tạo sơ đồ mạng lưới cho hệ thống mới.,A network diagram can help visualize connections.,Sơ đồ mạng lưới có thể giúp hình dung các kết nối.,C1,,,,,The IT team created a _____________ for the new system.,A _____________ can help visualize connections.,accurately,một cách chính xác,alight,"xuống (xe, tàu) - trang trọng",color,màu sắc; tô màu,gasoline,xăng,freeway,đường cao tốc,Organising a vocabulary notebook
junk mail,ˈdʒʌŋk meɪl,noun,thư rác,advertising material that is sent by post,My email inbox is full of junk mail.,Hộp thư đến của tôi đầy thư rác.,I never read junk mail; I just delete it.,Tôi không bao giờ đọc thư rác; tôi chỉ xóa nó.,B2,,,,,My email inbox is full of _____________.,I never read _____________; I just delete it.,undertake,"đảm nhận, cam kết",bug,Lỗi (phần mềm/máy tính),elevator,thang máy,crosswalk,vạch qua đường,bonnet,nắp ca-pô (Anh),Organising a vocabulary notebook
burnt out,ˌbɜːnt ˈaʊt,adjective,kiệt sức (do làm việc quá sức),exhausted by working too hard,He felt burnt out after working for twelve hours.,Anh ấy cảm thấy kiệt sức sau khi làm việc mười hai tiếng.,Taking a holiday can help prevent burnout.,Nghỉ phép có thể giúp ngăn ngừa sự kiệt sức.,C1,,,,,He felt _____________ after working for twelve hours.,Taking a holiday can help prevent _____________.,register,"quầy thanh toán, máy tính tiền",collocation,kết hợp từ,apartment,căn hộ,zebra crossing,"Vạch sang đường cho người đi bộ, lối qua đường vạch sọc",trunk,Cốp xe,Organising a vocabulary notebook
antonym,ˈæntənɪm,noun,từ trái nghĩa,a word that means the opposite of another word,Hot' is the antonym of 'cold'.,Nóng' là từ trái nghĩa của 'lạnh'.,We learned about synonyms and antonyms in class.,Chúng tôi đã học về từ đồng nghĩa và từ trái nghĩa trong lớp.,B2,,,,,Hot' is the _____________ of 'cold'.,We learned about synonyms and _____________ in class.,subtle,"tinh tế, tế nhị, khó thấy rõ",luggage,Hành lý,realize,"Nhận ra, nhận thức, thực hiện",luggage,Hành lý,hood,Mũ trùm đầu,Organising a vocabulary notebook
oversleep,/ˌəʊvəˈsliːp/,Verb,"Ngủ quên, ngủ dậy muộn",To sleep longer than you intended,We must preserve the historic character of the building.,Chúng ta phải bảo tồn đặc tính lịch sử của tòa nhà.,The company is trying to preserve its family business values.,Công ty đang cố gắng giữ gìn các giá trị kinh doanh gia đình.,B1,,,,,We must _____________ the historic character of the building.,The company is trying to _____________ its family business values.,perfectionist,người cầu toàn,coin,đồng xu,flat,"phẳng, bằng",sidewalk,vỉa hè,boot,Khởi động (máy tính),Organising a vocabulary notebook
gain,/ɡeɪn/,verb,"đạt được, giành được, tăng","to obtain or win something, especially something that you need or want; to increase in value, speed, etc.",The company gained a competitive advantage through innovation.,Công ty đã đạt được lợi thế cạnh tranh nhờ sự đổi mới.,She gained valuable experience working abroad.,Cô ấy đã tích lũy được kinh nghiệm quý báu khi làm việc ở nước ngoài.,B2,,,,,The company _____________ a competitive advantage through innovation.,She _____________ valuable experience working abroad.,latecomer,người đến muộn,systematic,có hệ thống,zone out,mất tập trung / lơ đễnh,lift,"nâng lên, nhấc lên",holiday,Kỳ nghỉ,Organising a vocabulary notebook
stress,/stres/,noun,trọng âm,(phonetics) extra force used when pronouncing a particular syllable or word,She is under a lot of stress at work.,Cô ấy chịu nhiều áp lực trong công việc.,Financial stress is a major factor affecting employee productivity.,Căng thẳng tài chính là một yếu tố chính ảnh hưởng đến năng suất của nhân viên.,B1,,,,,She is under a lot of _____________ at work.,Financial _____________ is a major factor affecting employee productivity.,dissatisfied,không hài lòng,range,"Phạm vi, loạt, dải",take sides,chọn phe / đứng về phía ai,baggage,hành lý (nói chung),single,Phòng đơn,Organising a vocabulary notebook
now and again,/ˌnaʊ ən əˈɡen/,phrase,"Thỉnh thoảng, đôi khi",Sometimes but not often.,"Now and again, we receive special requests from clients.","Thỉnh thoảng, chúng tôi nhận được yêu cầu đặc biệt từ khách hàng.","The system fails now and again, but it is usually reliable.","Hệ thống thỉnh thoảng bị lỗi, nhưng nhìn chung vẫn đáng tin cậy.",B1,,,,,"_____________, we receive special requests from clients.","The system fails _____________, but it is usually reliable.",deprive of,tước đoạt / lấy đi,sophisticated,"tinh tế, sành điệu, từng trải",in isolation,một cách cô lập / riêng lẻ,center,trung tâm; tập trung,garbage,Rác (chủ yếu chất thải sinh hoạt),Organising a vocabulary notebook
spam,/spæm/,noun,thư rác,"unwanted email, usually advertisements",My inbox is flooded with spam every day.,Hộp thư đến của tôi bị ngập trong thư rác mỗi ngày.,Always check your spam folder for important emails that might have been filtered.,Luôn kiểm tra thư mục spam của bạn để tìm các email quan trọng có thể đã bị lọc.,B1,,,,,My inbox is flooded with _____________ every day.,Always check your _____________ folder for important emails that might have been filtered.,breathless,"hụt hơi, khó thở",accurately,một cách chính xác,gutted,rất thất vọng / chán nản (từ lóng),jewelry,Trang sức (nói chung),parking lot,bãi đỗ xe,Organising a vocabulary notebook
podcast,/ˈpɒdkɑːst/,noun,Podcast (tệp âm thanh số),A digital audio file that you can download and listen to on a computer or media player.,I listen to a business podcast during my commute.,Tôi nghe một podcast về kinh doanh trên đường đi làm.,She hosts a weekly podcast about technology.,Cô ấy dẫn một podcast hàng tuần về công nghệ.,B1,,,,,I listen to a business _____________ during my commute.,She hosts a weekly _____________ about technology.,word family,gia đình từ (các từ cùng gốc),undertake,"đảm nhận, cam kết",felon,tội phạm trọng tội (từ cũ/Mỹ),truck,xe tải,underground,"Dưới lòng đất, ngầm",Organising a vocabulary notebook
urban,/ˈɜːbən/,adjective,"thuộc thành thị, đô thị",connected with a town or city,There has been a lot of urban development in recent years.,Đã có rất nhiều sự phát triển đô thị trong những năm gần đây.,Most of the country's population lives in urban centers along the coast.,Phần lớn dân số của đất nước sống ở các trung tâm đô thị dọc theo bờ biển.,B1,,,,,There has been a lot of _____________ development in recent years.,Most of the country's population lives in _____________ centers along the coast.,word class,từ loại,register,"quầy thanh toán, máy tính tiền",at a loss for words,không nói nên lời,eraser,Cục tẩy,subway,tàu điện ngầm,Organising a vocabulary notebook
rural,/ˈrʊərəl/,adjective,"thuộc nông thôn, mang tính nông thôn",connected with or like the countryside,The area is still very rural.,Khu vực này vẫn còn rất nông thôn.,He grew up in a rural community.,Anh ấy lớn lên ở một cộng đồng nông thôn.,B1,,,,,The area is still very _____________.,He grew up in a _____________ community.,to and fro,đi đi lại lại,subtle,"tinh tế, tế nhị, khó thấy rõ",appropriately,một cách thích hợp,color,màu sắc; tô màu,vacation,kỳ nghỉ,Organising a vocabulary notebook
hang out with,/hæŋ aʊt wɪð/,phrasal verb,"đi chơi với, giao du với",to spend a lot of time with someone,She prefers to hang out with people who share her interests.,Cô ấy thích đi chơi với những người có cùng sở thích với mình hơn.,"In this particular case, the judge decided to show leniency to the first-time, non-violent offender and sentenced him to a period of community service and probation rather than jail time.","Trong trường hợp cụ thể này, thẩm phán đã quyết định khoan hồng cho người phạm tội lần đầu, không có bạo lực và kết án anh ta một thời gian phục vụ cộng đồng và quản chế thay vì án tù.",B1,,,,,She prefers to _____________ people who share her interests.,"In this particular _____________, the judge decided to show leniency to the first-time, non-violent offender and sentenced him to a period of community service and probation rather than jail time.",snowed under,ngập đầu trong công việc,perfectionist,người cầu toàn,alight,"xuống (xe, tàu) - trang trọng",elevator,thang máy,line,"đường kẻ, dòng",Organising a vocabulary notebook
casual acquaintance,/ˈkæʒuəl əˈkweɪntəns/,Cụm danh từ,người quen xã giao,a person that you know but who is not a close friend,I would not lend money to a casual acquaintance; it is far too risky.,Tôi sẽ không cho một người quen xã giao mượn tiền; điều đó quá rủi ro.,"He's not a close friend, just a casual acquaintance I know from the gym.","Anh ấy không phải là bạn thân, chỉ là một người quen xã giao tôi biết ở phòng tập.",B2,,,,,I would not lend money to a _____________; it is far too risky.,"He's not a close friend, just a _____________ I know from the gym.",related words,các từ liên quan (cùng gia đình từ),latecomer,người đến muộn,bug,Lỗi (phần mềm/máy tính),apartment,căn hộ,car park,bãi đậu xe,Organising a vocabulary notebook
cease,/siːs/,verb,"chấm dứt, ngừng",to stop happening or existing; to stop something from happening or existing,The company has decided to cease all operations at its oldest factory.,Công ty đã quyết định chấm dứt mọi hoạt động tại nhà máy lâu đời nhất của mình.,Please cease using your mobile phones during the confidential meeting.,Vui lòng ngừng sử dụng điện thoại di động trong suốt cuộc họp bảo mật.,C1,,,,,The company has decided to _____________ all operations at its oldest factory.,Please _____________ using your mobile phones during the confidential meeting.,network diagram,sơ đồ mạng lưới,dissatisfied,không hài lòng,collocation,kết hợp từ,realize,"Nhận ra, nhận thức, thực hiện",rubbish,rác,Organising a vocabulary notebook
transitive,ˈtrænsətɪv,adjective,ngoại động từ (cần tân ngữ),a verb that has a direct object,The verb 'eat' is usually transitive because it takes an object.,Động từ 'eat' thường là ngoại động từ vì nó có tân ngữ.,You need to know if a verb is transitive or intransitive.,Bạn cần biết một động từ là ngoại động từ hay nội động từ.,B2,,,,,The verb 'eat' is usually _____________ because it takes an object.,You need to know if a verb is _____________ or intransitive.,junk mail,thư rác,deprive of,tước đoạt / lấy đi,luggage,Hành lý,flat,"phẳng, bằng",water closet,nhà vệ sinh (Anh cổ),Using your dictionary
riveting,ˈrɪvɪtɪŋ,adjective,rất thú vị / không thể rời mắt,so interesting that you have to keep reading or watching,I found the documentary absolutely riveting.,Tôi thấy bộ phim tài liệu thực sự rất thú vị.,His speech was riveting from start to finish.,Bài phát biểu của anh ấy thật không thể rời mắt từ đầu đến cuối.,C1,,,,,I found the documentary absolutely _____________.,His speech was _____________ from start to finish.,burnt out,kiệt sức (do làm việc quá sức),breathless,"hụt hơi, khó thở",coin,đồng xu,zone out,mất tập trung / lơ đễnh,torch,đèn pin (Anh),Using your dictionary
mislay,ˌmɪsˈleɪ,verb,để thất lạc (quên chỗ để),to put something somewhere and then be unable to find it,I always mislay my keys.,Tôi luôn để thất lạc chìa khóa của mình.,She mislaid her wallet and couldn't find it anywhere.,Cô ấy đã để thất lạc ví và không thể tìm thấy nó ở đâu.,B2,,,,,I always _____________ my keys.,She _____________ her wallet and couldn't find it anywhere.,antonym,từ trái nghĩa,word family,gia đình từ (các từ cùng gốc),systematic,có hệ thống,take sides,chọn phe / đứng về phía ai,Sellotape,băng keo trong (Anh),Using your dictionary
